sampling,regime,n,both_correct,literal_only,story_only,neither,story_accuracy,literal_accuracy,literal_correct_n,literal_wrong_n,p_story_given_literal_correct,p_story_given_literal_wrong,risk_difference,phi,model_n,model_pearson,model_spearman
uniform,off,240,38,53,14,135,0.21666666666666667,0.37916666666666665,91,149,0.4175824175824176,0.09395973154362416,0.3236226860387934,0.38112917262964824,8,0.9026434321388543,0.9697815168769667
uniform,on,239,225,12,2,0,0.9497907949790795,0.9916317991631799,237,2,0.9493670886075949,1.0,-0.05063291139240511,-0.021121196608823823,8,-0.06482037235521647,0.2834733547569204
stratified,off,192,62,57,14,59,0.3958333333333333,0.6197916666666666,119,73,0.5210084033613446,0.1917808219178082,0.32922758144353637,0.3268099959792044,8,0.8046283403816307,0.8958572659547143
stratified,on,192,185,6,1,0,0.96875,0.9947916666666666,191,1,0.9685863874345549,1.0,-0.03141361256544506,-0.012995783552244983,8,-0.1729171253112705,-0.21597969886241553
