sampling,regime,n,both_correct,literal_only,story_only,neither,story_accuracy,literal_accuracy,literal_correct_n,literal_wrong_n,p_story_given_literal_correct,p_story_given_literal_wrong,risk_difference,phi,model_n,model_pearson,model_spearman
uniform,off,240,38,53,14,135,0.21666666666666667,0.37916666666666665,91,149,0.4175824175824176,0.09395973154362416,0.3236226860387934,0.38112917262964824,8,0.9026434321388543,0.9697815168769667
uniform,on,239,225,12,2,0,0.9497907949790795,0.9916317991631799,237,2,0.9493670886075949,1.0,-0.05063291139240511,-0.021121196608823823,8,-0.06482037235521647,0.2834733547569204
stratified,off,320,150,81,20,69,0.53125,0.721875,231,89,0.6493506493506493,0.2247191011235955,0.42463154822705385,0.38127924078272374,8,0.9452810916677532,0.9461247469114746
stratified,on,320,302,15,2,1,0.95,0.990625,317,3,0.9526813880126183,0.6666666666666666,0.28601472134595163,0.12646835290219188,8,0.4490132550669369,0.5545076083135404
